Peso específico (kN/m³),Ángulo de fricción (°),Cohesión (kPa),Altura del talud (m),Ángulo del talud (°),kh,Slope stability
19,18.5,17,49.5,58,0.1,0.365
18.5,20.5,21,30,52,0.16,0.5023
17,21.5,18,48.75,15,0.28,0.4513
16,24.5,15,42.75,33,0.21,0.5094
16.5,25,12,21.75,52,0.15,0.5485
18.5,25.5,16,9.25,55,0.25,0.7028
18.5,25,16,20,18,0.29,0.6187
14,15,21,15.5,26,0.07,0.8394
17.5,18,20,12.25,19,0.08,0.9081
14,21,13,8.25,19,0.21,0.8777
18,16,24,10.5,16,0.08,0.9977
16.5,32.5,8,40.25,16,0.15,0.6701
19.5,31.5,7,11.5,31,0.1,0.8254
18.5,28,10,8.5,25,0.18,0.8746
17,33,4,12.5,29,0.04,0.8367
20,18.5,27,16.25,20,0.02,0.941
18.5,24,36,7.75,57,0.1,0.9887
19,20,40,12.75,23,0.26,0.9578
19.5,19,29,10.25,45,0.12,0.9804
20,39.5,5,27.5,23,0.15,0.757
19.5,34.5,4,12.5,15,0.15,0.7609
21,40,5,20.5,15,0.13,0.8607
20,38,4,9.25,25,0.07,0.9704
19,30.5,11,3.25,43,0.19,1.0744
17,30,6,11,51,0.15,0.6197
19.5,31,9,27.5,21,0.15,0.6737
18,32,15,3.25,69,0.03,1.2426
19,27.5,13,20.25,20,0.07,0.8417
17,24.5,21,3.75,48,0.12,1.3168
17,23.5,21,4.25,54,0.2,1.0354
18,26.5,18,8.5,39,0.12,1.0518
20.5,38,20,15.5,52,0.18,0.8903
19.5,32.5,16,37,27,0.06,0.8456
20.5,36,20,19.75,47,0.22,0.7782
21,36.5,13,18,28,0.01,1.1273
20.5,31.5,30,29.25,29,0.14,0.912
17.5,28,25,14,44,0.24,0.858
19.5,22,31,22,16,0.02,0.9976
19.5,21,14,3,49,0.03,1.1481
19.5,23,42,13.25,24,0.17,1.1348
17,27.5,32,21,40,0.07,1.0552
18,23,41,15.25,35,0.19,1.0376
19,25,27,49,25,0.15,0.6469
18,31.5,18,11,45,0.19,0.9244
20,28.5,28,5.75,67,0.12,0.8994
18,30.5,18,28.5,18,0.02,0.9992
17.5,29,35,5.25,47,0.28,1.5152
21.5,29.5,12,10.5,16,0.21,0.8398
17.5,29,11,46.25,20,0.15,0.6102
17,31.5,15,42,30,0.05,0.8066
20,31,7,3.75,47,0.11,0.998
18,32.5,13,4.25,15,0.3,1.1276
20.5,31,10,5,33,0.13,1.1031
18.5,30.5,14,4.5,67,0.06,0.7865
16.5,29,10,11.75,27,0.16,0.8492
19,29,2,12.25,23,0.15,0.5445
17.5,35,3,12,31,0.15,0.6858
18,30,10,6.5,16,0.2,1.0072
20,36,3,10.75,19,0.04,0.9043
19,22.5,32,4.75,63,0.01,1.3174
19,26,31,3.5,59,0.21,1.6321
16.5,21,34,26.75,25,0.08,0.8994
18,22,25,12,29,0.22,0.8944
18,23.5,22,13,52,0.15,0.7994
16,24,26,21,35,0.12,0.8768
16.5,26,22,21.75,18,0.18,0.8283
17,26.5,23,4.5,60,0.02,1.2122
16.5,18.5,24,3.5,43,0.02,1.4361
17,34.5,6,4.25,15,0.06,1.3159
19.5,32,10,4.25,29,0.11,1.2181
18.5,35,10,10.5,18,0.11,1.0851
19,34,8,6,23,0.08,1.1874
17,31,9,7.5,17,0.01,1.2603
19,19.5,28,17.75,19,0.15,0.8186
19.5,25,27,5.25,37,0.09,1.3889
19,20,32,4.5,24,0.18,1.4147
18,24,28,11,34,0.06,1.2089
20,24.5,26,6.5,48,0.08,1.1058
18,21,29,7.25,31,0.14,1.1854
18.5,40,4,9.5,23,0.02,1.1295
18.5,39.5,4,3.5,17,0.1,1.2708
19,31,9,5.5,24,0.04,1.2507
17.5,29.5,13,5.25,23,0.1,1.2598
18.5,33,12,12.25,18,0.07,1.117
17.5,30,14,4,29,0.07,1.3941
19,32.5,15,3.75,22,0.16,1.4143
17.5,27,15,5,30,0.07,1.2724
18.5,27.5,25,9,29,0.03,1.3739
19,28,25,15.5,21,0.09,1.1058
16,22,20,11.25,19,0.03,1.1605
18.5,24,20,4,25,0.06,1.4997
19,23,14,3.25,25,0.15,1.2703
17.5,25,22,11.5,20,0.02,1.2546
21.5,35,17,20,17,0.03,1.1493
21,37,20,15.5,19,0.17,1.0995
19,33,17,3.25,50,0.11,1.5225
21.5,34.5,14,3,34,0.04,1.7431
21,37,14,5,48,0.09,1.1943
19,37.5,16,11,33,0.07,1.2667
18,26.5,28,6.25,25,0.18,1.2527
20.5,31,23,8.25,29,0.11,1.261
19,26,32,20,30,0.03,1.1153
20.5,30,28,6.75,61,0.03,0.9887
20,30.5,25,15,37,0.1,1.0647
19.5,28.5,18,5.25,40,0.11,1.179
18.5,25.5,31,10.75,37,0.09,1.1758
19.5,26,29,12.5,28,0.11,1.138
18,23.5,35,7,45,0.09,1.2894
17.5,23.5,43,21.5,19,0.03,1.219
19,28,38,26,24,0.05,1.1332
18,24,34,5,40,0.1,1.5469
16.5,21,33,12,26,0.1,1.1783
20,23.5,22,3.5,22,0.2,1.3734
19.5,26,19,9.25,35,0.05,1.1576
17.5,32,35,11.25,54,0.14,0.9982
20,31,28,15.75,33,0.03,1.2504
16.5,31.5,20,4.5,26,0.28,1.3127
20,32.5,12,6.75,25,0.02,1.3504
17,34,11,5,25,0.01,1.4489
18,34.5,15,5.25,33,0.21,1.1817
21,34,13,8.75,46,0.15,0.94
16,33,15,14,30,0.1,1.0793
17,31.5,12,3.25,40,0.01,1.4601
16,33,10,3.75,41,0.01,1.2755
20,32,13,8.75,29,0.04,1.1998
17.5,33,11,14.75,16,0.02,1.1334
17.5,30.5,10,3,21,0.02,1.5618
17.5,21,35,4.5,49,0.08,1.6402
16,20.5,25,3.75,36,0.06,1.5233
18,19.5,33,7,28,0.07,1.3603
17.5,24.5,26,8.75,35,0.04,1.2417
16,22.5,22,5,37,0.09,1.2301
18,23,33,12.25,24,0.11,1.1595
17,26,28,13,37,0.12,1.0741
16.5,21,18,3.5,34,0.03,1.4615
17.5,24,28,11.25,26,0.12,1.1237
19,21.5,24,6.75,19,0.14,1.1878
16.5,21.5,26,13,20,0.07,1.0954
16,28,21,5.75,20,0.26,1.1763
17.5,23.5,28,3.25,16,0.18,2.0401
18,21,32,10.5,16,0.15,1.145
17,23.5,36,6.5,36,0.09,1.419
18,23,26,12,23,0.15,1.0217
17.5,32.5,13,3.5,44,0.15,1.2253
17,24,21,5,23,0.06,1.3873
18.5,34.5,17,6.25,28,0.04,1.4694
19,34.5,17,5.25,33,0.07,1.4468
19,37.5,17,13.5,26,0.05,1.3037
20,38,14,3.5,20,0.09,1.7663
17.5,28.5,34,5.75,39,0.16,1.5258
19,31.5,34,3.75,40,0.13,2.3156
18.5,28.5,35,3,42,0.08,2.7394
19,26,44,3.75,38,0.17,2.4248
19,26.5,45,4,51,0.05,2.4738
20,24.5,42,5.25,28,0.12,1.8412
17.5,22.5,47,6,36,0.03,1.7729
19,27.5,37,5,58,0.15,1.5757
17,25,28,7,15,0.14,1.3045
18,30.5,31,5.75,24,0.19,1.5516
16,30,34,5.75,44,0.06,1.7383
19.5,21.5,29,4.75,41,0.15,1.2931
18,34.5,12,4,24,0.09,1.4387
21,34,14,4.5,32,0.15,1.2726
19,23,34,9,24,0.05,1.4007
18.5,25.5,22,3.75,22,0.09,1.5938
18,20.5,26,3.5,25,0.03,1.8303
18.5,20,35,3.75,15,0.07,2.3926
18,27.5,29,6,21,0.2,1.3625
17.5,24.5,26,4,23,0.06,1.757
19,25.5,35,5,15,0.16,1.6566
18,24,39,6.5,39,0.04,1.5493
19,24.5,39,12.25,36,0.15,1.1006
19,33.5,8,4.25,25,0.15,1.1613
19,24.5,23,3.25,26,0.04,1.8804
18,27.5,18,4.5,19,0.05,1.5715
21,34.5,14,3,32,0.07,1.7204
20.5,35.5,20,13.75,15,0.01,1.4248
19.5,35,20,3.75,33,0.06,1.9104
20,33.5,17,6,28,0.08,1.3912
20,38,16,11.25,18,0.05,1.3924
17,30.5,35,4,37,0.25,1.99
18.5,27,33,4.75,26,0.1,1.7958
18.5,31,34,10.5,45,0.05,1.3071
18.5,32,35,7.75,45,0.03,1.5316
20,31,31,7,18,0.21,1.3587
20,26,25,3.5,26,0.02,2.0011
20,27.5,43,4.75,37,0.12,2.1883
19.5,27,27,3.5,40,0.04,2.0704
17.5,23.5,34,9,16,0.07,1.4005
18,26.5,50,10.5,19,0.13,1.4712
16,27.5,34,6,27,0.19,1.4644
19.5,30.5,35,4,15,0.26,1.9341
18,20,34,11,22,0.15,1.1129
17,29.5,34,9.25,44,0.05,1.2561
17,30,17,4.5,17,0.06,1.5349
21,35,14,9,17,0.15,1.1457
18.5,34,13,6,19,0.01,1.486
16.5,35,8,4.5,18,0.15,1.2232
17.5,20.5,35,3.5,28,0.07,2.5044
18.5,21,25,4.25,18,0.15,1.4038
16.5,24.5,28,13.75,30,0.15,1.052
18,23.5,30,6.5,20,0.04,1.5143
17,28,26,10.5,25,0.06,1.3188
17.5,27,20,3,18,0.01,2.0361
16.5,23.5,26,4.5,23,0.02,1.6734
21,34,20,4.75,15,0.04,1.7753
20.5,31,33,6.5,19,0.07,1.7613
17,30.5,35,7.25,18,0.13,1.5871
17.5,27.5,38,7,30,0.02,1.7334
18,28,31,11,19,0.15,1.2404
19.5,31.5,27,4,25,0.03,2.3216
18,24,33,6.75,33,0.15,1.307
19.5,31,16,3.5,20,0.15,1.4655
19.5,30.5,34,4.75,23,0.12,2.0296
17.5,26.5,44,8.25,40,0.15,1.2409
19,26,38,3.75,23,0.07,2.6759
17,28,29,11.25,23,0.15,1.2016
16.5,29.5,31,8.75,33,0.15,1.2479
16.5,28,23,11.5,17,0.15,1.1331
16,24,31,3.25,19,0.03,2.8155
16,26.5,30,3.25,21,0.03,2.9096
18.5,27.5,25,7.25,17,0.15,1.2765
18.5,23,37,4,26,0.15,2.1984
18.5,22.5,28,6.75,19,0.15,1.2429
16.5,26,22,3.25,34,0.15,1.5907
19,37.5,12,8,22,0.15,1.1841
17.5,31,28,3.5,20,0.19,2.0926
19.5,27.5,44,5,16,0.12,2.3098
20,29,29,3.75,16,0.06,2.3169
16,30,29,4.75,24,0.04,2.0453
16,25,26,4.75,34,0.15,1.3194
18.5,35.5,13,5.75,16,0.15,1.3004
19.5,38,20,6.25,27,0.06,1.6391
18.5,32,28,10.75,18,0.04,1.4874
18.5,30.5,33,8.75,44,0.15,1.1784
18,27,50,5.5,30,0.02,2.7173
19,26.5,46,5.75,16,0.05,2.3592
18,27.5,37,3.5,33,0.03,2.9585
17,32,32,12.75,25,0.06,1.3753
16,29,33,9.25,23,0.07,1.3961
18.5,25,27,3,20,0.04,2.5949
19.5,28.5,19,6,16,0.15,1.254
17,25.5,24,4,35,0.15,1.5247
18,38,19,4,21,0.14,1.8598
17.5,29.5,28,12.25,30,0.15,1.1427
21,31,34,6.5,29,0.01,1.8245
17,23.5,49,7.25,21,0.15,1.5394
17,31.5,27,7,17,0.04,1.6166
18.5,29.5,32,4,26,0.14,2.1846
19.5,21.5,37,5.25,29,0.15,1.4192
21.5,37.5,20,6.5,43,0.15,1.2324
17.5,26.5,33,4.75,22,0.05,1.8126
18.5,26,33,4,22,0.02,2.5565
18.5,29.5,33,4.75,27,0.13,1.8299
16.5,29.5,29,6,32,0.05,1.6514
17.5,24,34,4.25,17,0.1,2.1345
19,29,35,4.25,24,0.02,2.6248
16.5,32,32,6,27,0.1,1.7904
17,28,30,5.25,18,0.09,1.7367
19,30.5,35,5.5,35,0.15,1.7233
18,31,31,3,26,0.06,2.9716
19.5,38,15,7.75,30,0.15,1.226
21.5,36,20,3.25,25,0.05,2.2398
20.5,31,31,3.75,27,0.1,2.2822
18.5,24.5,37,4.75,19,0.03,2.0882
19,27.5,35,7.75,18,0.01,1.6964
19.5,29.5,26,4.75,20,0.01,1.8445
17,27.5,31,3,15,0.1,2.7086
17.5,21.5,28,4.75,20,0.15,1.3822
16.5,23.5,34,6.5,36,0.15,1.2254
16,27,28,3,21,0.04,2.8425
17,25,30,3.75,15,0.21,1.9354
17,23.5,40,3.25,25,0.21,2.4752
20,38,14,4,16,0.21,1.4625
19.5,37.5,19,3.5,27,0.2,1.7785
20.5,37.5,19,7.5,25,0.15,1.3434
18.5,37.5,13,4.5,15,0.19,1.3945
21,31.5,22,3.25,23,0.17,1.8341
20.5,31,27,5,25,0.15,1.593
17.5,29,35,3.75,34,0.24,2.0653
19,27.5,30,3,20,0.24,2.0897
19.5,28,35,3,17,0.27,2.2311
18,25.5,37,6,25,0.15,1.4678
17,27.5,42,11.5,15,0.22,1.1856
17,32,34,5.75,39,0.23,1.4929
16.5,25.5,35,3.25,22,0.23,2.2881
16.5,28.5,33,5.25,30,0.15,1.6765
16.5,0,17,46,25,0.14,0.1017
17.5,0,23,17.75,78,0.3,0.1984
14,0,18,27.5,85,0.28,0.1286
15,0,30,46,37,0.1,0.1697
17.5,0,77,43.5,63,0.11,0.3454
17,0,55,20,65,0.1,0.5207
17.5,0,70,48.75,84,0.12,0.2608
20,0,49,19,77,0.16,0.3869
16,0,47,29.5,54,0.09,0.3657
17.5,0,54,26.25,45,0.1,0.4235
18,0,57,17.5,54,0.27,0.4719
19,0,42,46.75,21,0.19,0.1608
19,0,46,30,37,0.29,0.2249
20,0,88,26.75,65,0.14,0.5015
20.5,0,87,29.75,40,0.14,0.4754
19,0,43,15,78,0.02,0.515
19,0,95,45,53,0.2,0.3421
19,0,81,25,89,0.06,0.3895
17.5,0,84,45.25,46,0.22,0.3223
20,0,75,46.5,41,0.3,0.2197
16,0,47,40.5,20,0.05,0.314
16,0,49,31.5,68,0.2,0.2889
19,0,31,16.25,55,0.02,0.4181
18,0,71,32.75,44,0.3,0.314
19,0,43,31.5,41,0.2,0.2321
16.5,0,50,39,82,0.02,0.2863
18,0,32,46.5,39,0.05,0.1672
16.5,0,43,43.75,69,0.14,0.2006
18,0,54,47.25,78,0.05,0.2351
18,0,40,41.25,38,0.17,0.1856
16.5,0,44,11.25,87,0.27,0.3045
17.5,0,58,30,19,0.05,0.4527
18,0,29,7.5,49,0.08,0.7313
16.5,0,28,4.25,41,0.04,1.188
14.5,0,17,8,23,0.07,0.5534
15.5,0,20,6,45,0.03,0.7818
19,0,68,22.5,34,0.11,0.5557
20,0,61,12.5,30,0.28,0.6225
20,0,77,12.25,78,0.13,0.5418
17,0,52,8.75,25,0.27,0.8048
16,0,50,15.75,36,0.17,0.6123
17,0,26,7.75,16,0.04,0.7821
18,0,23,4.25,19,0.21,0.8174
16,0,42,4.75,77,0.01,0.5987
21,0,70,22.75,76,0.12,0.4545
17.5,0,66,11,62,0.29,0.718
18.5,0,80,14.75,37,0.24,0.766
20,0,80,26.25,69,0.15,0.4555
18,0,98,40.5,25,0.01,0.5907
19.5,0,79,25.25,33,0.13,0.5332
17.5,0,91,25.5,59,0.11,0.6471
17.5,0,64,9.25,70,0.21,0.6159
18,0,48,7.25,73,0.21,0.5833
20,0,79,16.75,39,0.27,0.6043
18,0,59,13.75,33,0.19,0.6983
18.5,0,62,14,24,0.18,0.6957
17.5,0,38,8,68,0.23,0.6481
17.5,0,57,9.25,61,0.23,0.7901
16,0,42,8.5,22,0.28,0.7424
17,0,34,11.25,24,0.07,0.6673
17.5,0,42,7,23,0.17,0.9804
16,0,44,12.25,17,0.12,0.7596
17.5,0,56,12.75,79,0.25,0.4603
17,0,28,5.25,74,0.14,0.5386
15,0,30,4.75,27,0.06,1.1628
14.5,0,30,3.25,55,0.02,1.8305
18.5,0,72,11.75,18,0.13,1.0517
19,0,80,13.5,36,0.11,0.9945
17,0,62,7.5,51,0.19,0.8948
19.5,0,65,9.25,57,0.05,1.0493
20,0,80,12.5,68,0.01,0.7921
20,0,40,7.25,31,0.01,1.0673
18,0,53,5.75,41,0.26,0.9625
17.5,0,49,4.5,23,0.07,1.7163
17.5,0,53,7,36,0.23,1.0074
18.5,0,48,7,41,0.2,0.9399
17.5,0,39,3.5,40,0.3,1.3257
18,0,59,6.25,76,0.04,0.7833
18,0,58,5.75,40,0.3,0.9803
20,0,80,7,88,0.23,0.9162
19.5,0,80,11.5,29,0.12,1.108
17,0,52,3.5,28,0.3,1.8811
21,0,52,8.25,19,0.22,0.8035
19.5,0,73,7.5,80,0.26,0.5356
17.5,0,86,7.75,64,0.21,1.1222
20,0,79,11.75,55,0.04,1.0357
18.5,0,83,5,87,0.21,1.6151
17,0,64,12.5,26,0.04,1.0956
19,0,87,10,25,0.26,1.0192
18.5,0,72,9.25,68,0.14,0.7634
20,0,67,12.5,80,0.15,0.487
19,0,56,6.25,28,0.06,1.3953
16.5,0,47,3,53,0.04,2.7542
16,0,59,4,84,0.15,1.7952
17,0,76,12,60,0.11,0.888
18.5,0,66,7.75,73,0.3,0.6275
18.5,0,57,7,79,0.05,0.4792
16,0,48,6.75,34,0.19,1.0242
19,0,49,5.25,15,0.13,1.341
18.5,0,48,4.5,61,0.3,0.9764
16,0,58,12.5,28,0.01,1.0873
17,0,56,7,41,0.28,0.9371
16,0,35,3,21,0.09,2.1141
18.5,0,57,5.5,68,0.04,0.9428
16.5,0,53,5.5,55,0.09,1.1134
19,0,54,3.75,79,0.19,1.6125
18,0,56,9.75,16,0.01,1.2443
18.5,0,35,3.5,48,0.09,1.1969
14,0,23,3,28,0.11,1.1529
18,0,28,3.25,35,0.03,1.4268
18,0,29,3,34,0.07,1.4529
18.5,0,79,6.5,84,0.23,1.2135
17.5,0,80,10,39,0.21,1.0135
19.5,0,76,10.5,45,0.03,1.1829
18,0,73,8.25,23,0.12,1.3218
17.5,0,74,12.25,27,0.12,1.0427
19,0,75,9.5,60,0.21,0.8837
19,0,57,5,65,0.24,1.1219
18,0,56,7,53,0.05,1.1234
18.5,0,31,3.5,22,0.15,1.2124
18,0,30,3,33,0.11,1.3584
19,0,57,7.25,53,0.12,0.9987
18,0,46,4.75,31,0.1,1.3687
19.5,0,42,5,77,0.24,0.4974
19.5,0,77,9.25,50,0.3,0.885
17,0,89,10,55,0.11,0.9781
17.5,0,66,5.75,89,0.11,1.2432
21,0,54,8,76,0.17,0.5843
21,0,49,8.25,17,0.21,0.7948
17.5,0,88,14.75,51,0.03,1.0614
17.5,0,83,15.25,19,0.1,1.0362
17,0,91,16.25,30,0.1,1.0395
18.5,0,63,7.75,22,0.07,1.3505
19.5,0,83,10.5,23,0.16,1.1416
17,0,88,13.5,70,0.01,0.7114
18,0,56,4.25,22,0.3,1.5598
18.5,0,79,12.25,57,0.1,0.9606
18.5,0,43,6,18,0.01,1.3862
18.5,0,61,3.75,83,0.18,1.7794
20,0,51,9.25,18,0.09,0.9612
16,0,49,4.5,67,0.13,1.5921
17,0,37,3.75,53,0.05,1.348
16,0,56,7,39,0.24,0.928
17.5,0,40,4.25,30,0.24,1.2021
16.5,0,57,9.75,44,0.08,1.0384
16.5,0,49,9,27,0.03,1.1789
17,0,45,6.25,73,0.15,0.6052
16,0,39,4.75,50,0.15,0.932
18,0,49,5.25,47,0.05,1.1472
18.5,0,44,3.25,68,0.19,1.6697
18.5,0,44,4,88,0.15,1.1231
16,0,47,4.5,29,0.26,1.4576
17.5,0,71,4.75,67,0.02,2.4096
20,0,43,3.75,62,0.09,1.3254
18,0,62,6,37,0.09,1.5951
18.5,0,53,3.5,40,0.08,2.4755
16,0,59,4.25,20,0.23,2.0607
16,0,58,6.75,25,0.06,1.3401
19,0,66,5.25,51,0.02,2.1431
21,0,46,5.25,23,0.28,0.9833
21,0,77,9.5,66,0.21,0.8027
20.5,0,69,7,70,0.27,0.7125
18,0,80,9.5,27,0.07,1.3462
18,0,81,5.75,41,0.24,1.7821
19.5,0,100,7.25,72,0.3,1.3719
18.5,0,98,9.5,30,0.19,1.2014
19,0,77,5,67,0.23,1.7547
20,0,61,4.25,82,0.21,1.4202
16,0,75,7.75,17,0.17,1.3916
18.5,0,56,3.75,28,0.28,1.8415
18.5,0,55,4.5,48,0.06,2.0066
19,0,50,5,33,0.06,1.4471
16.5,0,47,3.25,48,0.01,2.8078
19,0,56,4.5,33,0.27,1.4752
18,0,57,4.25,41,0.06,2.2768
20,0,73,5.25,76,0.01,1.8517
20,0,64,3,55,0.09,3.0592
21,0,76,6,50,0.29,1.3027
20,0,73,5.75,52,0.12,1.6937
18,0,83,3.5,18,0.06,4.2694
20,0,66,5,50,0.01,2.1569
17,0,98,6,76,0.15,2.1156
18,0,96,6.75,40,0.16,2.0327
16.5,0,69,3,23,0.04,4.6688
16,0,57,3,32,0.06,3.7163
19.5,0,73,3,39,0.29,2.6921
18.5,0,55,3,16,0.15,2.8214
19,0,58,3.5,49,0.15,2.2717
19,0,88,5,37,0.23,2.2058
17,0,82,6.75,54,0.15,1.765
19,0,75,3.25,31,0.02,4.2596
17.5,0,65,4,24,0.06,2.9174
18,0,88,4.25,37,0.12,3.2096
19.5,0,72,5.75,28,0.07,2.1106
19,0,70,4.5,46,0.09,2.366
18.5,0,68,3,56,0.08,3.3714
16,0,73,3.75,41,0.13,3.2064
