Peso específico (kN/m³),Ángulo de fricción (°),Cohesión (kPa),Altura del talud (m),Ángulo del talud (°),kh,Slope stability
19,31.5,10,22.25,37,0,0.8521
16,34.5,8,20.5,40,0,0.9054
19,23.5,36,15.75,58,0,0.9891
19,18.5,19,8.5,49,0,1.0014
17.5,20.5,18,15.75,33,0,0.8877
17,23.5,37,39,37,0,0.9063
20,37,1,39.25,29,0,0.7229
18,34,0,32.5,29,0,0.5926
19,38.5,5,17.25,38,0,0.9252
22,39.5,3,4,45,0,1.069
20,28,10,3,71,0,0.7444
17.5,30.5,13,50,30,0,0.7831
19,33.5,10,48,33,0,0.7901
17.5,32,10,46,33,0,0.771
18,24,21,32.75,29,0,0.8226
18,27,23,44.5,30,0,0.8346
17,25,10,14,31,0,0.8722
17.5,27,18,17.5,36,0,1.0129
21,37,13,17.5,45,0,1.0229
21,35,5,9.5,35,0,0.9696
21.5,35.5,7,13.75,41,0,0.9167
20.5,32.5,18,32.25,33,0,0.9396
18.5,30.5,29,38,39,0,0.9622
19,29,13,31.75,33,0,0.7986
20,30,33,43.25,37,0,0.9435
20.5,28,17,9.75,50,0,1.045
17.5,24,24,41.5,30,0,0.7934
20,20.5,34,12.25,56,0,1.0475
17,23,42,12.5,82,0,0.5682
19.5,26,24,27.25,31,0,0.9308
19,23.5,35,47,27,0,0.8417
19.5,29.5,28,18.25,53,0,1.0182
19.5,21.5,22,17.5,31,0,0.9255
20,30.5,33,26.25,48,0,1.0136
17.5,28,9,30,29,0,0.752
20.5,28.5,6,27.25,29,0,0.6894
17,35,15,30.5,40,0,0.9545
20.5,35,8,4,56,0,1.1106
19.5,31,12,31.5,33,0,0.8298
16,31.5,15,9.75,57,0,0.9849
20.5,27,13,4.75,66,0,0.8551
17.5,32,11,39.5,31,0,0.8233
16.5,33.5,0,28.5,26,0,0.5983
18,29,5,7.75,31,0,0.9331
17.5,28,0,45.5,23,0,0.4913
18,36,9,36.5,32,0,0.8932
16.5,23.5,17,11.25,40,0,1.062
18.5,24.5,29,31.5,30,0,0.9263
18,25.5,31,18,44,0,1.0866
17,22.5,35,21.75,42,0,1.0473
18,26,11,36.75,27,0,0.7114
16.5,22,29,8,79,0,0.5897
19,23.5,17,49.75,25,0,0.6765
18.5,23.5,18,13.5,37,0,0.9929
14.5,16,18,27,15,0,0.716
16.5,16,19,15.25,21,0,0.8629
15,18,25,29.5,23,0,0.815
16,21,24,24.5,28,0,0.9077
16,30,4,6.75,29,0,0.9775
20,33.5,10,4.25,56,0,1.1002
17,29,8,49.5,24,0,0.7066
18.5,31,7,32,26,0,0.7811
17.5,20.5,24,10.25,41,0,1.1576
17.5,25,33,37.25,28,0,0.9406
17,21,32,17,40,0,1.0779
17.5,22,36,25.25,31,0,1.0345
21,39,5,43,30,0,0.8661
19.5,30,1,31,24,0,0.5989
18,34,2,3.25,33,0,1.0347
21,37,0,21,28,0,0.6691
20.5,31.5,9,4.75,48,0,1.1603
18.5,33.5,14,39,30,0,0.9067
19,33.5,8,45.25,27,0,0.8013
19,33.5,7,5.5,41,0,1.1574
18.5,23.5,22,21.75,27,0,0.9417
18.5,20.5,21,49.5,18,0,0.6683
16,26,16,42.25,26,0,0.783
19,23.5,20,32.5,23,0,0.81
20,37.5,19,16,42,0,1.2272
20.5,34.5,12,8.25,43,0,1.1814
21,36.5,10,20.25,33,0,1.0075
21.5,35.5,15,35,33,0,0.9458
19.5,27.5,28,8.75,59,0,0.9982
19,21.5,12,3.25,65,0,0.8109
18,28,34,10.25,60,0,0.9707
20.5,26.5,32,9.5,57,0,1.0392
17.5,23.5,29,40,24,0,0.873
20,25,48,12.75,58,0,1.0284
19,25,32,42.75,25,0,0.8872
18,22.5,38,43.5,25,0,0.8767
18.5,32,28,30.25,36,0,1.0772
16,27,19,6.5,60,0,0.8961
17.5,32,15,27.25,30,0,0.9787
18,24,20,40.75,23,0,0.7785
17.5,33.5,13,49.25,27,0,0.8759
19.5,29,1,3.25,27,0,0.7767
18,35,7,32.75,28,0,0.8756
20.5,28,15,9,40,0,1.1275
16,31.5,7,11.5,30,0,1.0183
18,32.5,12,34.75,28,0,0.888
16,34,10,21,31,0,1.0082
20,26,12,23,26,0,0.8062
17.5,29,7,4.75,38,0,1.161
17,29.5,3,6,27,0,0.9181
17,34,2,29.25,25,0,0.7351
19.5,31,8,23.5,26,0,0.8463
16,21.5,34,11.5,62,0,0.8497
17,25.5,15,5,63,0,0.8374
19,23,17,7.5,39,0,1.1858
17,23.5,30,14.25,46,0,1.1305
16.5,21,20,4.75,80,0,0.5874
17.5,23.5,18,49.5,23,0,0.7085
18,20,12,18.25,19,0,0.7599
19,20,23,4.5,77,0,0.6024
17.5,18.5,20,12.25,25,0,1.0114
15.5,22,15,20.25,22,0,0.8704
20,34.5,6,14.5,26,0,0.9781
18.5,29.5,8,3.25,43,0,1.2346
19,25,30,19.25,30,0,1.1194
18,25,15,34.25,22,0,0.7819
19.5,33.5,3,47.75,22,0,0.7228
20.5,31,1,9,23,0,0.6987
17.5,33,12,11,35,0,1.1805
21,28.5,13,13.5,28,0,1.018
16,28,18,48.75,23,0,0.8354
17,28,12,4.25,52,0,1.0546
20,33.5,6,26.25,24,0,0.8464
21.5,32,20,29,26,0,1.0128
17,23.5,14,44.25,16,0,0.7065
17.5,21.5,28,10.25,42,0,1.2073
17.5,27.5,29,11,43,0,1.2291
20,25.5,34,16,32,0,1.2349
20,25,16,19.75,24,0,0.9048
18,31,31,6,75,0,1.2062
19,33.5,9,4.25,44,0,1.2474
19,28.5,4,15.5,23,0,0.7525
17.5,28,7,26.5,21,0,0.765
20.5,33.5,15,44.5,27,0,0.8925
17.5,33.5,10,36,26,0,0.8914
19.5,33,10,18.75,26,0,0.9956
17.5,20,21,22.25,21,0,0.8609
18.5,23,30,28.75,25,0,0.9461
19,27,29,15.25,35,0,1.2346
18,22.5,23,5.25,67,0,0.7552
14.5,20.5,18,3.5,28,0,1.4168
14,21.5,22,4.25,54,0,1.2202
20,32.5,9,13.25,18,0,1.0806
19,34.5,3,22,18,0,0.8401
17,24.5,38,21.25,23,0,1.2373
19,25,22,12.25,15,0,1.2275
20.5,31.5,4,46.25,20,0,0.7009
22,35,0,8.5,16,0,0.6779
20,29,5,40,18,0,0.6853
18,30,14,11,15,0,1.2752
18,21.5,24,30,16,0,0.8526
17.5,27,10,5,17,0,1.3733
19,33,9,14.5,16,0,1.0906
19.5,35,20,18.75,18,0,1.3022
20,30,30,4,79,0,1.3604
20,30,31,5.5,34,0,1.7664
17,20,42,9.5,47,0,1.159
18,28,28,5.75,38,0,1.5653
20,32,17,26,25,0,1.023
18.5,32,34,15,24,0,1.4957
18,34,4,39.5,16,0,0.8069
20,31.5,13,40,17,0,0.8812
17.5,32.5,5,46.5,21,0,0.7582
17.5,26,11,12.25,18,0,1.0195
19,33,7,29.25,22,0,0.8568
16,31,2,26,18,0,0.7073
18.5,25.5,23,11.25,24,0,1.3124
18.5,25.5,31,39.5,20,0,0.9485
16,23.5,30,8,45,0,1.2079
16.5,27,16,5,21,0,1.511
18,23,39,3.25,31,0,3.2952
18,32.5,15,3,27,0,1.8738
21,34,15,3.25,19,0,2.0319
18.5,24.5,24,5.5,16,0,1.6091
18,38,15,10,16,0,1.5163
18.5,34,18,9.5,19,0,1.4964
19,34,12,4.5,16,0,1.6311
17,30,29,7.75,41,0,1.4211
20,23,33,3.75,22,0,2.3421
19.5,27,40,8.5,23,0,1.6659
17.5,28,34,3,46,0,2.743
17.5,31,24,9.25,21,0,1.4897
16.5,26,35,8,33,0,1.4945
19,27.5,32,6.75,28,0,1.6605
16.5,20.5,34,3,22,0,3.2406
19,23.5,30,5.25,29,0,1.6494
18,19,29,4.25,19,0,1.8441
16.5,22,27,4,27,0,1.838
18,28,28,8,29,0,1.4317
14.5,20.5,23,4.75,17,0,1.4053
17.5,21,40,8.5,21,0,1.5517
18,21.5,24,3.25,24,0,1.8967
18.5,24.5,21,4.75,16,0,1.6974
17.5,27.5,25,11.5,19,0,1.4184
18.5,23,35,3.25,42,0,2.8285
20.5,29,26,8,28,0,1.4948
17.5,25,22,4.75,25,0,1.6417
20,26.5,24,7,16,0,1.5777
20,24,45,5.75,34,0,2.0187
18,24,50,6.25,32,0,1.9383
18.5,20,35,4,31,0,2.3702
16.5,27.5,34,18.25,15,0,1.3607
19,34,14,4.5,26,0,1.6001
18,26,34,13.25,19,0,1.4474
17.5,31.5,33,3.75,16,0,3.0763
19.5,29.5,32,3.5,17,0,2.9193
16,30.5,29,4.5,24,0,2.5143
18.5,31,26,3.75,30,0,2.4914
16.5,31.5,35,5,35,0,2.5377
18,26,31,3.75,42,0,2.4849
18,21.5,36,3.75,25,0,2.7229
18.5,33.5,15,4.75,20,0,1.6908
16,25,25,6.25,26,0,1.5557
20,37,17,10.75,21,0,1.4755
20,37,9,3.5,18,0,1.6547
20.5,37,20,8.25,28,0,1.5693
20,24.5,33,5.5,32,0,1.7112
